NC_035107.1	0	100000	3.606118	269.336615	32821
NC_035107.1	100000	200000	6.209116	454.657585	44091
NC_035107.1	200000	300000	9.605509	667.921205	39207
NC_035107.1	300000	400000	21.862512	1356.888942	49470
NC_035107.1	400000	500000	10.608589	748.361439	31192
NC_035107.1	500000	600000	12.649616	611.464981	20768
NC_035107.1	600000	700000	5.616613	388.388234	16440
NC_035107.1	700000	800000	8.595844	634.299673	21536
NC_035107.1	800000	900000	7.299003	531.922664	16204
NC_035107.1	900000	1000000	11.825141	750.958955	23585
NC_035107.1	1000000	1100000	12.713408	747.14191	24659
NC_035107.1	1100000	1200000	10.66362	670.863943	20778
NC_035107.1	1200000	1300000	21.147422	744.970962	28636
NC_035107.1	1300000	1400000	13.436474	658.469095	22597
NC_035107.1	1400000	1500000	17.708018	928.026094	27896
NC_035107.1	1500000	1600000	8.58921	455.019442	12771
NC_035107.1	1600000	1700000	12.304491	558.416224	16995
NC_035107.1	1700000	1800000	7.429427	403.419434	12391
NC_035107.1	1800000	1900000	11.152218	744.763618	19258
NC_035107.1	1900000	2000000	11.368437	765.720777	28623
NC_035107.1	2000000	2100000	13.937145	1022.229724	21861
NC_035107.1	2100000	2200000	9.31977	804.083052	23453
NC_035107.1	2200000	2300000	18.273774	866.465282	21140
NC_035107.1	2300000	2400000	7.52579	529.513972	17855
NC_035107.1	2400000	2500000	8.274919	555.947039	19012
NC_035107.1	2500000	2600000	13.001315	725.44115	18255
NC_035107.1	2600000	2700000	10.555945	698.365898	18271
NC_035107.1	2700000	2800000	18.041481	1139.670372	24789
NC_035107.1	2800000	2900000	9.12885	498.366417	14807
NC_035107.1	2900000	3000000	13.356151	654.245659	19623
NC_035107.1	3000000	3100000	11.88792	803.296436	22067
NC_035107.1	3100000	3200000	17.8478	833.170278	23925
NC_035107.1	3200000	3300000	10.344417	630.613873	22801
NC_035107.1	3300000	3400000	9.504597	738.743201	24037
NC_035107.1	3400000	3500000	7.718211	559.604941	20374
NC_035107.1	3500000	3600000	12.12253	764.236783	27413
NC_035107.1	3600000	3700000	12.464891	1034.070207	29439
NC_035107.1	3700000	3800000	13.502407	795.749826	19662
NC_035107.1	3800000	3900000	7.324912	561.820693	13682
NC_035107.1	3900000	4000000	11.14144	622.971721	18687
NC_035107.1	4000000	4100000	10.974345	656.6877	18537
NC_035107.1	4100000	4200000	17.016142	1088.464505	32757
NC_035107.1	4200000	4300000	9.285912	835.961083	21624
